id,orig_path,label,sc_class,source
vuln_001_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/wallet_03_wrong_constructor.sol",vuln,SC01,smartbugs
vuln_002_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/arbitrary_location_write_simple.sol",vuln,SC01,smartbugs
vuln_003_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/phishable.sol",vuln,SC01,smartbugs
vuln_004_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/parity_wallet_bug_1.sol",vuln,SC01,smartbugs
vuln_005_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/parity_wallet_bug_2.sol",vuln,SC01,smartbugs
vuln_006_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/unprotected0.sol",vuln,SC01,smartbugs
vuln_007_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/incorrect_constructor_name1.sol",vuln,SC01,smartbugs
vuln_008_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/simple_suicide.sol",vuln,SC01,smartbugs
vuln_009_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/incorrect_constructor_name3.sol",vuln,SC01,smartbugs
vuln_010_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/multiowned_vulnerable.sol",vuln,SC01,smartbugs
vuln_011_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/FibonacciBalance.sol",vuln,SC01,smartbugs
vuln_012_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/incorrect_constructor_name2.sol",vuln,SC01,smartbugs
vuln_013_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/wallet_02_refund_nosub.sol",vuln,SC01,smartbugs
vuln_014_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/proxy.sol",vuln,SC01,smartbugs
vuln_015_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/rubixi.sol",vuln,SC01,smartbugs
vuln_016_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/mapping_write.sol",vuln,SC01,smartbugs
vuln_017_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/mycontract.sol",vuln,SC01,smartbugs
vuln_018_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/access_control/wallet_04_confused_sign.sol",vuln,SC01,smartbugs
vuln_019_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/bad_randomness/blackjack.sol",vuln,SC05,smartbugs
vuln_020_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/bad_randomness/lucky_doubler.sol",vuln,SC05,smartbugs
vuln_021_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/bad_randomness/random_number_generator.sol",vuln,SC05,smartbugs
vuln_022_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/bad_randomness/lottery.sol",vuln,SC05,smartbugs
vuln_023_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/bad_randomness/etheraffle.sol",vuln,SC05,smartbugs
vuln_024_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/bad_randomness/guess_the_random_number.sol",vuln,SC05,smartbugs
vuln_025_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/bad_randomness/smart_billions.sol",vuln,SC05,smartbugs
vuln_026_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/bad_randomness/old_blockhash.sol",vuln,SC05,smartbugs
vuln_027_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/time_manipulation/timed_crowdsale.sol",vuln,SC05,smartbugs
vuln_028_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/time_manipulation/roulette.sol",vuln,SC05,smartbugs
vuln_029_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/time_manipulation/governmental_survey.sol",vuln,SC05,smartbugs
vuln_030_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/time_manipulation/ether_lotto.sol",vuln,SC05,smartbugs
vuln_031_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/time_manipulation/lottopollo.sol",vuln,SC05,smartbugs
vuln_032_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/front_running/eth_tx_order_dependence_minimal.sol",vuln,SC05,smartbugs
vuln_033_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/front_running/FindThisHash.sol",vuln,SC05,smartbugs
vuln_034_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/front_running/ERC20.sol",vuln,SC05,smartbugs
vuln_035_SC05,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/front_running/odds_and_evens.sol",vuln,SC05,smartbugs
vuln_036_SC06,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/denial_of_service/dos_number.sol",vuln,SC06,smartbugs
vuln_037_SC06,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/denial_of_service/dos_simple.sol",vuln,SC06,smartbugs
vuln_038_SC06,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/denial_of_service/send_loop.sol",vuln,SC06,smartbugs
vuln_039_SC06,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/denial_of_service/list_dos.sol",vuln,SC06,smartbugs
vuln_040_SC06,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/denial_of_service/dos_address.sol",vuln,SC06,smartbugs
vuln_041_SC06,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/denial_of_service/auction.sol",vuln,SC06,smartbugs
vuln_042_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol",vuln,SC08,smartbugs
vuln_043_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol",vuln,SC08,smartbugs
vuln_044_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/reentrancy_dao.sol",vuln,SC08,smartbugs
vuln_045_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol",vuln,SC08,smartbugs
vuln_046_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/spank_chain_payment.sol",vuln,SC08,smartbugs
vuln_047_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol",vuln,SC08,smartbugs
vuln_048_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol",vuln,SC08,smartbugs
vuln_049_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/modifier_reentrancy.sol",vuln,SC08,smartbugs
vuln_050_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol",vuln,SC08,smartbugs
vuln_051_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol",vuln,SC08,smartbugs
vuln_052_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol",vuln,SC08,smartbugs
vuln_053_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.sol",vuln,SC08,smartbugs
vuln_054_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/etherstore.sol",vuln,SC08,smartbugs
vuln_055_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/etherbank.sol",vuln,SC08,smartbugs
vuln_056_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol",vuln,SC08,smartbugs
vuln_057_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/reentrancy_cross_function.sol",vuln,SC08,smartbugs
vuln_058_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol",vuln,SC08,smartbugs
vuln_059_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/reentrancy_bonus.sol",vuln,SC08,smartbugs
vuln_060_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol",vuln,SC08,smartbugs
vuln_061_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol",vuln,SC08,smartbugs
vuln_062_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31.sol",vuln,SC08,smartbugs
vuln_063_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol",vuln,SC08,smartbugs
vuln_064_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol",vuln,SC08,smartbugs
vuln_065_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol",vuln,SC08,smartbugs
vuln_066_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/reentrancy_simple.sol",vuln,SC08,smartbugs
vuln_067_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/reentrance.sol",vuln,SC08,smartbugs
vuln_068_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol",vuln,SC08,smartbugs
vuln_069_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol",vuln,SC08,smartbugs
vuln_070_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/simple_dao.sol",vuln,SC08,smartbugs
vuln_071_SC08,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol",vuln,SC08,smartbugs
vuln_072_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/integer_overflow_mapping_sym_1.sol",vuln,SC09,smartbugs
vuln_073_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/integer_overflow_add.sol",vuln,SC09,smartbugs
vuln_074_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/timelock.sol",vuln,SC09,smartbugs
vuln_075_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/overflow_simple_add.sol",vuln,SC09,smartbugs
vuln_076_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/token.sol",vuln,SC09,smartbugs
vuln_077_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/insecure_transfer.sol",vuln,SC09,smartbugs
vuln_078_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/integer_overflow_mul.sol",vuln,SC09,smartbugs
vuln_079_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/integer_overflow_minimal.sol",vuln,SC09,smartbugs
vuln_080_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/tokensalechallenge.sol",vuln,SC09,smartbugs
vuln_081_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/integer_overflow_multitx_multifunc_feasible.sol",vuln,SC09,smartbugs
vuln_082_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/BECToken.sol",vuln,SC09,smartbugs
vuln_083_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/integer_overflow_multitx_onefunc_feasible.sol",vuln,SC09,smartbugs
vuln_084_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/integer_overflow_benign_1.sol",vuln,SC09,smartbugs
vuln_085_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/integer_overflow_1.sol",vuln,SC09,smartbugs
vuln_086_SC09,"/home/andrei/Рабочий стол/Kursovaya/Diplom/dataset/arithmetic/overflow_single_tx.sol",vuln,SC09,smartbugs
vuln_087_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/BCCC-SCsVul-2024/SourceCodes/Source Codes/WeakAccessMod/29c80110d6a3932dfcec931361059a4bb0c9ff8e52747d5018d4181ca2d58559.sol",vuln,SC01,bccc
vuln_088_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/BCCC-SCsVul-2024/SourceCodes/Source Codes/WeakAccessMod/130790feced08212eed7d1490dd4d7abf138543be61a4744a03f69ecb9609764.sol",vuln,SC01,bccc
vuln_089_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/BCCC-SCsVul-2024/SourceCodes/Source Codes/WeakAccessMod/d4e33e2934280979f580a63f992daa7d0de2cd64a145d5c403a75c3dc5c0004e.sol",vuln,SC01,bccc
vuln_090_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/BCCC-SCsVul-2024/SourceCodes/Source Codes/WeakAccessMod/e7958a592e85df2a56545ce837e3d8dbd8b1398ee1257c8a560a8854e5eedb14.sol",vuln,SC01,bccc
vuln_091_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/BCCC-SCsVul-2024/SourceCodes/Source Codes/WeakAccessMod/0adbedb5c563def75ac24a03304554c54938471af5e7e0faf529b530aee6dc3a.sol",vuln,SC01,bccc
vuln_092_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/BCCC-SCsVul-2024/SourceCodes/Source Codes/WeakAccessMod/ce02d4b6d1aceeea96a562c10923d590607df6182b4a3405ad10be85b6354787.sol",vuln,SC01,bccc
vuln_093_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/BCCC-SCsVul-2024/SourceCodes/Source Codes/WeakAccessMod/42daa5cdd2c859d2c37ffc94204333784c2be704e318d9fc66e1f785a1cc9640.sol",vuln,SC01,bccc
vuln_094_SC01,"/home/andrei/Рабочий стол/Kursovaya/Diplom/BCCC-SCsVul-2024/SourceCodes/Source Codes/WeakAccessMod/ff2ccb6ba423d356bd549ed4bfb76e96976a0dcde05a09996a1cdb9f83422ec4.sol",vuln,SC01,bccc
